effects,variances,effects.cil,effects.cih,estimate,lab,estimate.cil,estimate.cih,inverse_vars,identity,index,method
0.6740790358229655,0.10567978183170024,0.03692557700286658,1.3112324946430642,0.353479808327222,babylabbrookes,0.2885319562777079,0.41842766037673607,9.462547922293638,1,1,Central fixation
0.5748995814085146,0.13884182547839474,-0.1554121021658711,1.3052112649829004,0.353479808327222,babylabbrookes,0.2885319562777079,0.41842766037673607,7.202440594211365,1,2,Central fixation
0.26802580999683756,0.1261224661691322,-0.4280304091069854,0.9640820291006605,0.353479808327222,babylabbrookes,0.2885319562777079,0.41842766037673607,7.928801508360805,1,3,Central fixation
0.34997861057262625,0.13537475046430578,-0.3711569725671696,1.0711141937124222,0.353479808327222,babylabkingswood,0.2885319562777079,0.41842766037673607,7.386901889534191,1,4,HPP
0.42675047815008843,0.13636859951002214,-0.2970273603151958,1.1505283166153726,0.353479808327222,babylabkingswood,0.2885319562777079,0.41842766037673607,7.333066436064022,1,5,HPP
0.8414381363175815,0.14513363562082673,0.09476224629900598,1.5881140263361568,0.353479808327222,babylabkonstanz,0.2885319562777079,0.41842766037673607,6.89020154233978,1,6,HPP
0.6249728700373334,0.14983198371933396,-0.13369266594063234,1.383638406015299,0.353479808327222,babylablangessex,0.2885319562777079,0.41842766037673607,6.674142430585483,1,7,Eye tracking
1.121666737320017,0.15430227116016887,0.35176686032212634,1.8915666143179077,0.353479808327222,babylableiden,0.2885319562777079,0.41842766037673607,6.48078600840541,1,8,HPP
0.5654433094630757,0.06709456561464965,0.05776131165240239,1.0731253072737492,0.353479808327222,babylablmu,0.2885319562777079,0.41842766037673607,14.904336749765868,1,9,Eye tracking
0.5846241588067811,0.06951487839217113,0.06786643726883912,1.101381880344723,0.353479808327222,babylablmu,0.2885319562777079,0.41842766037673607,14.385409614880682,1,10,Eye tracking
0.4879403110302646,0.07627857173266954,-0.053373823472440685,1.02925444553297,0.353479808327222,babylabnijmegen,0.2885319562777079,0.41842766037673607,13.109841693217067,1,11,HPP
-0.024661725073511144,0.09091600228049547,-0.6156355645136817,0.5663121143666594,0.353479808327222,babylabnijmegen,0.2885319562777079,0.41842766037673607,10.999163787633165,1,12,HPP
0.5408548544438901,0.12957068708711753,-0.16465238068145271,1.246362089569233,0.353479808327222,babylabparisdescartes1,0.2885319562777079,0.41842766037673607,7.717794992687233,1,13,HPP
0.6363593503321556,0.07782364095143669,0.0895903753606152,1.183128325303696,0.353479808327222,babylabplymouth,0.2885319562777079,0.41842766037673607,12.84956586166429,1,14,HPP
0.6470650805423165,0.1403115536409539,-0.0871018319369502,1.3812319930215833,0.353479808327222,babylabpotsdam,0.2885319562777079,0.41842766037673607,7.126996844172365,1,15,Central fixation
0.5176382966087886,0.0688995783843004,0.0031726581775353146,1.0321039350400418,0.353479808327222,babylabpotsdam,0.2885319562777079,0.41842766037673607,14.513876912603315,1,16,HPP
0.6617348037944476,0.15067665983130135,-0.0990662109141821,1.4225358185030772,0.353479808327222,babylabprinceton,0.2885319562777079,0.41842766037673607,6.636727951891202,1,17,HPP
-0.08307920348072037,0.15397888757790368,-0.8521718870285533,0.6860134800671125,0.353479808327222,babylabshimane,0.2885319562777079,0.41842766037673607,6.4943968340728695,1,18,Eye tracking
0.17161357774735542,0.14338305750120084,-0.5705455096295229,0.9137726651242337,0.353479808327222,babylabshimane,0.2885319562777079,0.41842766037673607,6.974324703541944,1,19,Eye tracking
0.40166117452451966,0.09274240567182292,-0.19521915880906993,0.9985415078581092,0.353479808327222,babylabuclajohnson,0.2885319562777079,0.41842766037673607,10.782554029691521,1,20,Eye tracking
0.8301943674354043,0.16710043630233598,0.02900185313222814,1.6313868817385804,0.353479808327222,babylabumassb,0.2885319562777079,0.41842766037673607,5.98442482933254,1,21,Eye tracking
0.1746061178274103,0.06692072746985633,-0.3324177660541552,0.6816300017089758,0.353479808327222,babylabutrecht,0.2885319562777079,0.41842766037673607,14.943053338002615,1,22,HPP
0.24701092264615893,0.06500818061214925,-0.2527152512028976,0.7467370964952155,0.353479808327222,babylabutrecht,0.2885319562777079,0.41842766037673607,15.382679388709304,1,23,HPP
0.031084802334250098,0.15386473586415692,-0.7377227462623653,0.7998923509308656,0.353479808327222,babylabvuw,0.2885319562777079,0.41842766037673607,6.499215004553567,1,24,Central fixation
0.20782626968676826,0.1256748712245612,-0.4869937376569961,0.9026462770305326,0.353479808327222,babylabyork,0.2885319562777079,0.41842766037673607,7.957040180396585,1,25,Central fixation
0.4311099311483352,0.12790399644898004,-0.26984508549750086,1.1320649477941713,0.353479808327222,babylabyork,0.2885319562777079,0.41842766037673607,7.818363989892158,1,26,Central fixation
0.16212851700155506,0.06472811012923486,-0.33652002616568405,0.6607770601687941,0.353479808327222,babylingoslo,0.2885319562777079,0.41842766037673607,15.449238329427814,1,27,Eye tracking
0.5967969913106059,0.13056510388808423,-0.11141234921359666,1.3050063318348086,0.353479808327222,baldwinlabuoregon,0.2885319562777079,0.41842766037673607,7.65901431715755,1,28,Central fixation
0.4497696870752735,0.10252865964264737,-0.1778126772070519,1.077352051357599,0.353479808327222,bchdosu,0.2885319562777079,0.41842766037673607,9.753370457444705,1,29,Central fixation
0.046682915335157685,0.13336965490973648,-0.6690922150416518,0.7624580457119672,0.353479808327222,bchdosu,0.2885319562777079,0.41842766037673607,7.49795746773726,1,30,Central fixation
0.3250812615917091,0.1192011445093832,-0.3516064714228662,1.0017689946062844,0.353479808327222,bchdosu,0.2885319562777079,0.41842766037673607,8.38918119549836,1,31,Central fixation
